title,type,release_year,nlp_text,listed_in,vader_compound,vader_label,spacy_pos_prob,spacy_label,review_join
Dick Johnson Is Dead,Movie,2020,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,-0.9487836938232146,NEGATIVE,0.8281425851928402,POSITIVE,Great movie || Loved it
Blood & Water,TV Show,2021,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.","International TV Shows, TV Dramas, TV Mysteries",-0.17448267600836298,NEGATIVE,0.4831406612608444,NEGATIVE,Interesting plot
Ganglands,TV Show,2021,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.","Crime TV Shows, International TV Shows, TV Action & Adventure",0.28488539468610785,POSITIVE,0.09859649140820757,NEGATIVE,
Jailbirds New Orleans,TV Show,2021,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.","Docuseries, Reality TV",-0.01622185227838857,NEUTRAL,0.319557331809671,NEGATIVE,Interesting plot
Kota Factory,TV Show,2021,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","International TV Shows, Romantic TV Shows, TV Comedies",-0.2098619256191565,NEGATIVE,0.6995410455156912,POSITIVE,Interesting plot
Midnight Mass,TV Show,2021,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.","TV Dramas, TV Horror, TV Mysteries",-0.08483161942214512,NEGATIVE,0.7312513423923522,POSITIVE,Interesting plot
My Little Pony: A New Generation,Movie,2021,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",Children & Family Movies,0.07985296265218711,POSITIVE,0.6169635093810417,POSITIVE,Interesting plot
Sankofa,Movie,1993,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Dramas, Independent Movies, International Movies",0.2494500268365838,POSITIVE,0.9499878429225618,POSITIVE,Great movie || Loved it
The Great British Baking Show,TV Show,2021,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.","British TV Shows, Reality TV",0.8749154582328431,POSITIVE,0.8388600756504713,POSITIVE,Great movie || Loved it
The Starling,Movie,2021,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,"Comedies, Dramas",-0.33624468448950084,NEGATIVE,0.994087086989099,POSITIVE,Great movie || Loved it
"Vendetta: Truth, Lies and The Mafia",TV Show,2021,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?","Crime TV Shows, Docuseries, International TV Shows",-0.8690981794775227,NEGATIVE,0.24413876334301632,NEGATIVE,Interesting plot
Bangkok Breaking,TV Show,2021,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.","Crime TV Shows, International TV Shows, TV Action & Adventure",-0.22039395366338876,NEGATIVE,0.7166147794846014,POSITIVE,Interesting plot
Je Suis Karl,Movie,2021,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Dramas, International Movies",-0.0791766143122633,NEGATIVE,0.10702809041995277,NEGATIVE,
Confessions of an Invisible Girl,Movie,2021,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Children & Family Movies, Comedies",-0.03243101598518694,NEUTRAL,0.939056678428095,POSITIVE,Great movie || Loved it
Crime Stories: India Detectives,TV Show,2021,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,"British TV Shows, Crime TV Shows, Docuseries",-0.9730203766312964,NEGATIVE,0.9204138370511155,POSITIVE,Great movie || Loved it
Dear White People,TV Show,2021,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.","TV Comedies, TV Dramas",-0.7767808883862526,NEGATIVE,0.6736790057443266,POSITIVE,Interesting plot
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Documentaries, International Movies",0.8416459094364304,POSITIVE,0.6828873089241998,POSITIVE,Interesting plot
Falsa identidad,TV Show,2020,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",0.8202899223706428,POSITIVE,0.6083489785921641,POSITIVE,Interesting plot
Intrusion,Movie,2021,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Thrillers,-0.5512639120107665,NEGATIVE,0.745126312306413,POSITIVE,Interesting plot
Jaguar,TV Show,2021,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",0.9592576548362286,POSITIVE,0.6384151367560065,POSITIVE,Interesting plot
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","Crime TV Shows, Docuseries, International TV Shows",0.27157046023559994,POSITIVE,0.3513560978116831,NEGATIVE,Interesting plot
Resurrection: Ertugrul,TV Show,2018,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.","International TV Shows, TV Action & Adventure, TV Dramas",0.5237314229653522,POSITIVE,0.8642914076019756,POSITIVE,Great movie || Loved it
Avvai Shanmughi,Movie,1996,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Comedies, International Movies",-0.06069197437276408,NEGATIVE,0.8773510569886657,POSITIVE,Great movie || Loved it
