title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
Dick Johnson Is Dead,Movie,653574.0,89.0,,,,,7.107
My Little Pony: A New Generation,Movie,597316.0,90.0,,,,,7.7
Sankofa,Movie,68351.0,124.0,,,,,5.643
The Starling,Movie,468225.0,102.0,,,,,6.9
Je Suis Karl,Movie,683641.0,126.0,,,,,5.3
Confessions of an Invisible Girl,Movie,786705.0,91.0,,,,,6.671
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,683398.0,68.0,,,,,6.7
Intrusion,Movie,785752.0,93.0,,,,,5.938
Avvai Shanmughi,Movie,,,,,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,876576.0,57.0,,,,,5.893
Jeans,Movie,393295.0,94.0,,,,,0.0
Minsara Kanavu,Movie,79328.0,145.0,,,,,6.7
Grown Ups,Movie,38365.0,102.0,,,,,6.401
Dark Skies,Movie,145135.0,97.0,,,,,6.325
Paranoia,Movie,1119197.0,0.0,,,,,4.25
Ankahi Kahaniya,Movie,862701.0,110.0,,,,,5.8
The Father Who Moves Mountains,Movie,840427.0,108.0,,,,,5.83
The Stronghold,Movie,637534.0,105.0,,,,,7.38
Birth of the Dragon,Movie,408266.0,103.0,,,,,5.786
Jaws,Movie,578.0,124.0,,,,,7.68
Jaws 2,Movie,579.0,117.0,,,,,6.0
Jaws 3,Movie,17692.0,99.0,,,,,4.5
Jaws: The Revenge,Movie,580.0,89.0,,,,,4.08
My Heroes Were Cowboys,Movie,866529.0,23.0,,,,,6.4
Safe House,Movie,1383089.0,94.0,,,,,6.727
Training Day,Movie,2034.0,122.0,,,,,7.508
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,22537.0,100.0,,,,,7.674
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,34295.0,99.0,,,,,7.7
InuYasha the Movie 4: Fire on the Mystic Island,Movie,34297.0,88.0,,,,,7.5
InuYasha the Movie: Affections Touching Across Time,Movie,42360.0,99.0,,,,,7.5
Naruto Shippuden the Movie: Blood Prison,Movie,75624.0,108.0,,,,,7.247
Naruto Shippûden the Movie: Bonds,Movie,17581.0,90.0,,,,,7.32
Naruto Shippûden the Movie: The Will of Fire,Movie,36728.0,95.0,,,,,7.363
Naruto Shippuden: The Movie,Movie,20982.0,94.0,,,,,7.404
Naruto Shippuden: The Movie: The Lost Tower,Movie,50723.0,85.0,,,,,7.165
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,16910.0,97.0,,,,,6.791
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,18861.0,95.0,,,,,7.101
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,16907.0,82.0,,,,,7.284
Nightbooks,Movie,739990.0,101.0,,,,,6.12
Schumacher,Movie,855823.0,112.0,,,,,7.276
A StoryBots Space Adventure,Movie,874104.0,12.0,,,,,2.0
King of Boys,Movie,570465.0,169.0,,,,,6.4
You vs. Wild: Out Cold,Movie,869589.0,25.0,,,,,5.7
Little Singham - Black Shadow,Movie,874467.0,47.0,,,,,10.0
Tughlaq Durbar,Movie,620637.0,146.0,,,,,6.0
Tughlaq Durbar (Telugu),Movie,,,,,,,
Firedrake the Silver Dragon,Movie,523366.0,100.0,,,,,7.062
Kate,Movie,597891.0,106.0,,,,,6.637
Omo Ghetto: the Saga,Movie,790682.0,110.0,,,,,4.3
Prey,Movie,766507.0,100.0,,,,,7.674
Blood Brothers: Malcolm X & Muhammad Ali,Movie,861604.0,97.0,,,,,7.3
Paradise Hills,Movie,728981.0,85.0,,,,,0.0
The Women and the Murderer,Movie,866127.0,92.0,,,,,6.192
JJ+E,Movie,726916.0,91.0,,,,,5.799
Show Dogs,Movie,425148.0,90.0,,,,,6.0
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,502183.0,94.0,,,,,7.8
Untold: Breaking Point,Movie,862582.0,79.0,,,,,7.5
Shadow Parties,Movie,871229.0,117.0,,,,,10.0
Angamaly Diaries,Movie,442000.0,132.0,,,,,7.386
A Champion Heart,Movie,500705.0,90.0,,,,,7.8
Worth,Movie,649394.0,118.0,,,,,6.7
Afterlife of the Party,Movie,785457.0,109.0,,,,,6.713
Anjaam,Movie,1324968.0,100.0,,,,,0.0
Bright Star,Movie,29963.0,119.0,,,,,6.6
Dhanak,Movie,320873.0,106.0,,,,,7.4
Final Account,Movie,728125.0,94.0,,,,,7.4
Gurgaon,Movie,432140.0,107.0,,,,,5.1
Here and There,Movie,530169.0,4.0,,,,,0.0
In the Cut,Movie,10944.0,119.0,,,,,5.1
Shikara,Movie,661671.0,118.0,,,,,4.222
A Cinderella Story,Movie,11247.0,95.0,,,,,6.582
Agatha Christie's Crooked House,Movie,,,,,,,
An Unfinished Life,Movie,1947.0,108.0,,,,,6.8
Barbie Big City Big Dreams,Movie,850818.0,62.0,,,,,7.0
Blade Runner: The Final Cut,Movie,78.0,118.0,,,,,7.943
Chappie,Movie,198184.0,120.0,,,,,6.785
Clear and Present Danger,Movie,9331.0,141.0,,,,,6.647
Cliffhanger,Movie,9350.0,113.0,,,,,6.52
Cold Mountain,Movie,2289.0,154.0,,,,,6.935
Crocodile Dundee in Los Angeles,Movie,9290.0,95.0,,,,,5.2
Dear John,Movie,22971.0,108.0,,,,,6.846
Do the Right Thing,Movie,925.0,120.0,,,,,7.8
"El patrón, radiografía de un crimen",Movie,314572.0,98.0,,,,,7.6
Extraction,Movie,545609.0,116.0,,,,,7.305
Freedom Writers,Movie,1646.0,123.0,,,,,7.921
Green Lantern,Movie,44912.0,114.0,,,,,5.177
House Party,Movie,16094.0,105.0,,,,,6.417
House Party 2,Movie,16096.0,94.0,,,,,5.3
House Party 3,Movie,16097.0,94.0,,,,,5.1
I Got the Hook Up,Movie,40505.0,93.0,,,,,5.4
In Too Deep,Movie,22314.0,95.0,,,,,6.4
Initial D,Movie,80741.0,104.0,,,,,6.8
Janoskians: Untold and Untrue,Movie,360220.0,88.0,,,,,5.1
Labyrinth,Movie,13597.0,101.0,,,,,7.275
Letters to Juliet,Movie,37056.0,105.0,,,,,7.001
Level 16,Movie,548066.0,102.0,,,,,6.764
Love Don't Cost a Thing,Movie,21542.0,100.0,,,,,7.5
Love in a Puff,Movie,41993.0,104.0,,,,,7.0
Mars Attacks!,Movie,75.0,106.0,,,,,6.415
Marshall,Movie,392982.0,118.0,,,,,7.243
My Boss's Daughter,Movie,2830.0,83.0,,,,,5.0
Mystery Men,Movie,9824.0,121.0,,,,,5.8
Once Upon a Time in America,Movie,311.0,229.0,,,,,8.4
Open Season 2,Movie,13690.0,76.0,,,,,5.863
Osmosis Jones,Movie,12610.0,95.0,,,,,6.501
Poseidon,Movie,503.0,98.0,,,,,5.867
Rhyme & Reason,Movie,90928.0,90.0,,,,,7.0
Same Kind of Different as Me,Movie,300687.0,119.0,,,,,6.8
School of Rock,Movie,1584.0,110.0,,,,,7.082
Snervous Tyler Oakley,Movie,370416.0,82.0,,,,,5.067
Tears of the Sun,Movie,9567.0,121.0,,,,,6.889
The Blue Lagoon,Movie,5689.0,104.0,,,,,6.2
The Golden Child,Movie,10136.0,94.0,,,,,5.93
The Guns of Navarone,Movie,10911.0,160.0,,,,,7.3
